short_description,cmdb_ci
Collections - Two Active Records for One Policy,MCS - MAPFRE Collections System
URGENT-TW PRODUCTION SUPPORT-PLSP MIC80 CA 8/18 Paid Loss OOB,TronWeb - Treasury
Policy#8006010020067_Additional interest not printing on the declaration page,AFE
"Inclusion of Motorhome Non pleasure vehicle in the dropdown along with the other motorhome vehicle types like  CLASS A, CLASS B,CLASS C.",Enterprise Acord Web Services
8001010011422 - ADDING VEHICLE PURHCHASED NEW WITHIN 30 DAYS MILEAGE DEFAULTING TO 12K,TronWeb - Issue
0107522483683 - CLUE Mapping Issue,AFE
QUOTE 0104646286312 - POLICY WAS WRITTEN TO BIND A 2003 BMW - HOWEVER WHEN IT SUBMITTED TO BE APPROVED IT ASKED FOR A 2015 HYUNDAI,TronWeb - Issue
new problem/ca/afe/ca008193/6401050010798/premium is increasing but agent only adding mailing address,AFE
TronWeb IT Ticket - 6401030033131 Received Error applying payment to open receipt,TronWeb - Treasury
TC#6202_Year Built Prior to 1940 and Updates are over 10,TronWeb - Issue
Docusign TIming Error,AFE
EPMS job DEC PROP RN MIC Stuck,TronWeb - Print
July and Aug 2018 Tronweb MIC FL Outstanding Settlements Report MMAG01710 - discrepancy vs. GL account 2702000010,TronWeb - Reports
8001010062034- Ashly Threadgill The declaration page is not reflecting the correct validated mileage for the 2017 Toyota 4Runner. ,TronWeb - Print
Sweep payment not fully applied_Receipt missing as OOS endor deleted,TronWeb - Issue
Diary Screen - No automated way to clear filter from the free key space or the calendar selection field,MCS - MAPFRE Collections System
6401040061768 Print defect - Driver ID is not printed correctly in the dec,TronWeb - Print
64010418006132 - Claim # is getting changed when doing payment,MAC - MAPFRE Admin Center
Bad Printers associated with Claims Checks in Development,TronWeb - Print
TW Issue - System not allowing Extended Towing to be grandfathered on policy for manual renewal.,TronWeb - Issue
"On policy 8001080000895, the RAP score shows AV, but the system is indicating BA on the most recent endorsement",TronWeb - Issue
New Problem/Download/PA/HO3/8006100001310 Cristen Clemons /Cancellation policy keeps downloading daily to agency mgt system,TronWeb - Interface
Policy #8001010069403  - Driver Discovery_Added driver is the name of a corporation - Ocean Corp,AFE
"New Problem / 433 / 8001010017401 /CA / AFE / ""A driver is listed more then one time..."" Only 1 driver on policy",AFE
 New Problem / AFE / FL024011 / 5201070017477 / Bound Endorsement increased $80 after submission,AFE
MAC search Attorney not returning results or working as TW does,MAC - MAPFRE Admin Center
6401040032092 Estimated mileage defect,TronWeb - Issue
AZ Tiering_Endors and Renewal,TronWeb - Issue
new problem/ca/afe/e833tcra/0101802070889/premium amount under comp and collision shows negative amount,AFE
"New Problem / 2989 / 0602800027525 / CA / AFE / Agent calculates premium, and gets display error",AFE
MIC TW - CCard issue 10/12/18,TronWeb - Issue
TW claim 80010816000279 reporting Accident Below Threshold_Rating on Renw_Automated Loss S/C Coding Logic,TronWeb - Issue
Tronweb/Medicare reporting- UEX3 record mapping is incorrect. This is Compliance issue for TW's Medicare reporting,TronWeb - Claims
Gear RAPA_No Tech Control Fired for Model Year < 1981 as Reg Auto,TronWeb - Issue
6401020013067 - MAC is not displaying the Underwriter,MAC - MAPFRE Admin Center
MCS - MAPFRE Collections System. Unchecked boxes when bulk assigning policies.,MCS - MAPFRE Collections System
MAPFRE - MA BOP/NCL Download/Limits are included when it should not and deductible for BPP not downloading,NCL Cover-All - Issue
"New Problem / 224 / 8001010061370 / CA / AFE / Endt doc, from submitted endt did not create, and endt is still in progress yet submitted",AFE
0601803578463 incorrect total premium,TronWeb - Issue
PA034028 / 8001080007143 / Need Patch - TRN-20001:NON-EXISTENT CODE a1001331,TronWeb - Issue
MAC system is down and TronWeb and AFE,TronWeb - Performance
Unable to release tech control in web methods_Non-Existent Code (PK p2000030),TronWeb - Issue
Collector Reps periodically are being bumped out of the Collection System,MCS - MAPFRE Collections System
Prot lob_tech control for photos refiring multiple times ,TronWeb - Issue
Urgent ticket  8001010066759_AFE Endor removed Good Driver Disc,TronWeb - Issue
ISO BOP - TW 8553 Ordinance or Law Coverage - Also Ref. to INC1505959,NCL Cover-All - Issue
"New Problem / 2114 / 8001010052992 / CA / AFE / age display error after adding veh, and moving driving assignments tab",AFE
New Problem / Internal E833TCRA / 0101802197803 / CA / AFE / Agent is getting a page display error entering vehicle details,AFE
New Problem/PA/PA AP 5.2/pa043665/8001080001231/Agent unable to endorse policy,Enterprise Acord Web Services
System did not process UW Cancellations on Time,TronWeb - Issue
8001010033453_Manual Renw to change BOR - premium increased_Carfax Veh Title Symbol,TronWeb - Issue
EARS Report Received for Deleted Drivers,TronWeb - Interface
VALIDATION OF MPD- value field needs to be updated when multi policy is removed by the system validation.,TronWeb - Issue
"New Problem / 70702 / 5201070004049 / FL / AFE / Agent attempts to submit endt, and it bounces agent back.",AFE
Approx 2300 Florida Commercial Auto policies not reported to the Florida DMV.  ,TronWeb - Interface
Multipolicy discount credit was not placed on the homeowner account,TronWeb - Issue
Claim # 80010118003458 - Error in MAC,MAC - MAPFRE Admin Center
8006120000242 - MANUALLY RE-RENEWED THE POLICY THE PREMIUM DECREASED FROM $1075.00 TO $868.00,TronWeb - Issue
New Problem / AFE / MVR CLUE / FL051596 / 0107522543172 / New Business Pulling At Fault Incident as a Not At Fault,AFE
6401040077100 - CA Protection Policy - Agency Checklist Incorrect,AFE
New Problem/AFE/FL/FL025587/5201070004400/ error: Purchase/Lease Date is invalid,AFE
Withdrawal of Cancellation Notice on policy 8001080008601dated for 11-1-18,TronWeb - Print
MCS - V12 - 'Collection Method' field is showing Y or N for most policies.,MCS - MAPFRE Collections System
MCS - Unnecessary 'Policy is no longer available' diaries on a policy - should only happen once per policy,MCS - MAPFRE Collections System
new problem/ca/afe/ca028703/8001010060630/declaration page spacing is off,TronWeb - Print
"5201070017323 - A tech control fired for ""Policy with Reinsurance is Cancelled"" but we never received a WM task",AFE
RAPA Symbol Issue,TronWeb - Issue
 6401040072078 web methods task - we have this task for a quote that we cannot complete.,TronWeb - Issue
Claim Suffix Closing_Enhancement Lean Request,MAC - MAPFRE Admin Center
8001080009493_Endor_System changing Insd from Married to Single_Dropping Disc and Incr Prem,TronWeb - Issue
Tech Controls in EZLynx Referral not handling as expected.,TronWeb - Issue
8001080009484 Briggs_DOCUSIGN_policy notes say reformed due to marriage status and proof of year license_ the policy didn't,TronWeb - Issue
MCS (MAPFRE Collections System) - TW - Policy showing wrong 'policy state' when querying from system.,MCS - MAPFRE Collections System
 8006010022374 HAD TO VOID THE 01/01/2019 RENEWAL > premium increased when renewal was put back,TronWeb - Issue
Coverall - LD153780/147643 5204070001312 OOS REVISIONS 19-28 - Error saving policy: OOS Error.,NCL Cover-All - Issue
Date of Notice is wrong on Renewal Invoices after implementaiton of the 2018-019 Separate Renewal Invoice enhancement,TronWeb - Print
"8001080004600 / PA / PA AP / Endorsement premiums are not accurate, or consistent with Policy Services",TronWeb - Issue
New Problem/CA/AFE/CA010871/6401040057081/Error when endorsing to add vehicle,AFE
ISO BOP - ISO Edits S161 & S162 - End Tx OFF/ON ISO Reporting since release of Terrorism Project 2017-055 -URGENT,NCL Cover-All - Issue
CA Protection _not showing the new Fees that were implemented as of 11/25/18.,TronWeb - Print
"NCL Production Support - ISO BOP - TW8632 MA Residential Fuel Tank Coverage - ISO Edits S147, S203, S210",NCL Cover-All - Issue
8001060010117 - Docusign Requiring Proof of Marital Status in Error,AFE
new problem/afe/ca020344/8001010069920/Docusign signature is showing AI reps name and not Agent's name,AFE
TronWeb - unable to assign good student discount 8001060002581,TronWeb - Issue
"8006170001386- Error Message ""Page cannot be Displayed""",MAC - MAPFRE Admin Center
ISO - URGENT - NCL PRODUCTION SUPPORT - 11/18 MIC52 FL GARAGE PAID LOSS OOB,NCL Cover-All - Issue
PA PA EM 1010 Form- Printing with AZ,TronWeb - Print
TronWeb Treasury Cancel Certificate of Mail letters not printing,TronWeb - Print
New Problem/CA/AFE/CA040515/6401040096012 - Required field entry EM_K_RISK_VDO_EDITS -ANNUAL PLEASURE MILEAGE,AFE
TRON WEB / WEB METHODS_Tech Control Email generating multiple times,TronWeb - Issue
>1 loss on Policy w/i 3 yr_CAT indicator Yes_Elite is being allowed (INC1552432 cont'd),TronWeb - Issue
Weekly Renewal Error Report 5201070005944_FL Renw Failures,TronWeb - Issue
NCL Production Support - BOP All States - Swimming Pool Coverage (ISO Code 15) - Incorrect Liability Exposure Indicator (pos. 77),NCL Cover-All - Issue
Please generate the applications for the 3 policies issued below,AFE
Please see attached policies that failed renewal. PROTECTION POLICIES LOB 104,TronWeb - Issue
New Problem / CA / MAC / 8001010065572 / 2nd insured added by endo not showing in MAC,MAC - MAPFRE Admin Center
0107522610281 - Quote is ineligible but system allowed them to bind,AFE
8001010065473 unable to submit validation,AFE
5201070006638 - No Webmethods Task,TronWeb - Issue
MIC - Validated Mileage not on file.  8001010061206,TronWeb - Interface
New Problem/AFE/Download/FL/5201070002615/70355 Sihle Insurance Group- length error present in the 1st occurrence of the 5RMK group,TronWeb - Interface
STAT - TRONWEB MICFL (52) PERS AUTO OOB 11-2018,TronWeb - Reports
Symbols not populating correctly on Renewal (Manual and Batch).,TronWeb - Issue
5201070014655 - Claim pulling incorrectly onto renewal,TronWeb - Issue
"0609800012731 - Agent enters Umbrella quote, and gets Page Display error",AFE
STAT - TRONWEB CA HO/PL out of balance 11-2018,TronWeb - Reports
80040118000142 Unable to view suffix in MAC no files defined to open,MAC - MAPFRE Admin Center
6401030003567_PROC ENDOR_UNIQUE CONTRAINT ERROR,TronWeb - Issue
Invoice creation date should be changed to policy effective date,TronWeb - Print
6401050007660_tech control fired TC Reason: 1024 Suspended or Revoked License on Excl driver,TronWeb - Issue
Auto Policy ID Card Reprints - Contains no data - See: d962c936f5734b96a74672017e1ef720,TronWeb - Print
MAPFRE - policy 8008030008845 - Withdrawal of pending cancel notice not generated,TronWeb - Print
"0104649428138 - Agent calculates premium, but no premium develops",AFE
"8001010059546 -  Agent attempts to start, or access an Endt, and gets a Page Display Error",AFE
New Problem / CA / AFE / Enhanced Bundle error displays for policy that quote that qualifies for the bundle,AFE
MIC AUTO Policy Will not download 8001010069814,TronWeb - Interface
5201070005835_FM SCORE IMPROVED - NOT CHANGING PREMIUM,TronWeb - Issue
WEEKLY RENEWAL ERROR REPORT- CA POLICIES THAT FAILED RENEWAL,TronWeb - Issue
MAC Slowness,TronWeb - Performance
"New Problem / CA / AFE / using incorrect settlement option calculates premium, then gives error in bind",AFE
URGENT: CWIC TW Refund account 4504,TronWeb - Interface
"8001010066095 - canceled this policy on 12/26/18, and has a final balance of $241.13",TronWeb - Treasury
Prior BI limits,AFE
eClaimworks fix,TronWeb - Interface
Renewal DEC prints are recycling again -  CRITICAL:,NCL Cover-All - Issue
8006010015428- Joseph Beretta_process a dummy endors because the MPD is not listed_Prem incr $61,TronWeb - Issue
8006010029288_Added Addl Interest on Endors_Prem increased,AFE
new problem/ap 5.2/pa/pa021513/8001080001089/premium increasing in error during endorsement with no changes,TronWeb - Issue
RAPA prod clean-up - return interest posting_Report mmagc00530 did not include all items posed in the ccard massive collections for 12/21/2018,TronWeb - Reports
Claim number 64010318000672_Supvsr unable to release Check in TW,TronWeb - Claims
"STAT - ISO ""urgent"" Tronweb PLSP Paid and outstanding loss OOB 12/2018",TronWeb - Reports
STAT - ISO Tronweb CWIC 12/2018 OS loss report has blank liability,TronWeb - Reports
Tronweb is having a really slow response_Freezing up Sporadically,TronWeb - Performance
New Problem/AFE/FL018806/0107522646008 - CLUE report pulling incident that doesn't belong to driver,AFE
8001080007770 John Macdonald- premium increasing on a non-premium bearing endorsement.,TronWeb - Issue
New Problem/AFE/AZ043747/8001060004533 - Error in cal. premium while adding a vehicle during endorsement,AFE
pol 6401050004315 Comp/Coll symbol rating,TronWeb - Issue
6401040112235  Proof of insurance needs to be sent to CA DMV.,TronWeb - Interface
6401040089773 - unable to clear an assigned tech control out of webmethods,TronWeb - Issue
FL New business - Umbrella Quote Property CLUE Report not in ECM,Enterprise Acord Web Services
TRON IS ASSIGNING HAZARD SCORE OFF OF ZIPCODE ONLY NOT ADDRESS,TronWeb - Issue
8006010029277 - discount didn't print at new business,TronWeb - Print
MCS - Patch needed to correct previous phone number diary defect,MCS - MAPFRE Collections System
NCL Production Support-URGENT-12/18 MIC80 California Auto Paid Loss OOB,NCL Cover-All - Issue
0101802731598 - Significant Change in Physical Damage rate from Comp Rater to Full Quote,TronWeb - Issue
MCS - Diaries are not saving properly,MCS - MAPFRE Collections System
EFT validation feed to vendor,TronWeb - Issue
8001060009853- Renewal Void_Endors_Reissue MR_premium came back higher,TronWeb - Issue
PA Auto - Incorrect tech ctrl fired on the quote,TronWeb - Issue
MAPFRE - Policy 5201070009944 DNR Notice not generated,TronWeb - Print
6401050003839 _tech control 983 referred for driver with less than 3 years licensed for an excluded driver,TronWeb - Issue
policy never reinstated or cancelled and is still in pending cancel,TronWeb - Issue
8001060005585-  AZ /AFE /DSS Item open when no documents required,AFE
New Problem/AFE/CA006755/8006010019231 -  K_VAL_VARDAT_601.P_VAL_NUM_ANIMALS] 0 < 1,AFE
new problem/afe/ca/e833tcra/0104649929578/400 bad request error message during nb quote,AFE
new problem/afe/ca/ca006755/8001010053997/ajax error message comes up when changing coverage dropdowns,AFE
"8001010057593 - processign renewal - getting ""a driver is listed more than once""",TronWeb - Issue
TW claim 52010718001994 cannot open a suffix as the claim is synced to cancelled endorsement 5 in error,TronWeb - Claims
5201070019117 Canada Town missing from town/city options,TronWeb - Issue
8006090000732-Umbrella policy is reflecting two drivers that are ages 70-74 on the dec page. Agent is upset and would like it fixed.,TronWeb - Print
8001010021527  had to void all renewals and endorsements back to 4/21/2017_When I attempt to  Re-process getting error,TronWeb - Issue
6401040037945 -  change in premium on 12/19 caused a new EFT schedule for the insured,TronWeb - Treasury
***Job CRTIVANS80 ended abnormally. 01/17/19 07:19:06.,AS400A
5201070007318_Added Apt #_Prem increased by $14.01,TronWeb - Issue
Excluded Driver Fee is Not returned on Flat cancel Policies for RONA/Insured Request to Cancel,TronWeb - Issue
8006150000970_DRIVER SCREEN NOT TAKING OCCUPATION CHANGE,TronWeb - Issue
Policies are showing stuck in pending cancel across all Tron Web lines of business.,NCL Cover-All - Issue
PA Renewal Tech control 6653 Split Protection Classification returned 8006100001202,TronWeb - Issue
IT Ticket,TronWeb - Interface
8006040003729- Retired Homeowner Discount Not Appied on NB eff 2/13/19,TronWeb - Issue
"TronWeb error - 8001080005452 -  ""TRN-70001297: HO Policy number does not belong to Insured",TronWeb - Issue
8006040001098- unable to add MPD ,TronWeb - Issue
0101802691134 - Validated Mileage Issue,Enterprise Acord Web Services
New Problem / CA / AFE / DSS errored after being signed,AFE
640104002544   RUSH,TronWeb - Interface
8006010031536 -New Business Application Print Issue,AFE
Need to correct VIN #_6401040115360,TronWeb - Issue
6401040115143. I cannot tab through the pay plan screen in order to re-org the billing,TronWeb - Issue
"FIRING IN ERROR FROM 2013 NB, SHOULD NOT FIRE ON AN ENDORSEMENT",TronWeb - Issue
MAC - slowness,MAC - MAPFRE Admin Center
"MAPFRE NCL Policy 8008030002026 Backdate cancel to 1/9/19, purge renewal",NCL Cover-All - Issue
Signature Box - California Bundles,TronWeb - Print
Submit proof of insurance to the DMV for policy:6401040115100,TronWeb - Interface
***Job FTPEFTSW80 ended abnormally. 01/21/19 23:59:14.,AS400A
***Job FTPEFTSW80 ended abnormally. 01/22/19 00:04:46.,AS400A
***Job FTPEFTSW52 ended abnormally. 01/22/19 00:55:16.,AS400A
***Job FTPCOMEF80 ended abnormally. 01/22/19 00:55:30.,AS400A
***Job FTPEFTSW80 ended abnormally. 01/22/19 01:38:16.,AS400A
***Job FTPEFTSW52 ended abnormally. 01/22/19 01:48:18.,AS400A
***Job FTPCOMEF64 ended abnormally. 01/22/19 03:49:06.,AS400A
***Job FTPEFTD52 ended abnormally. 01/22/19 03:51:22.,AS400A
***Job FTPCOMEF52 ended abnormally. 01/22/19 03:52:31.,AS400A
NCL Production Support - MICFL - ISO Edit C107 - Missing Type of Policy Code,NCL Cover-All - Issue
RECEIVING ERROR MESSAGE WHEN ATTEMPTING TO MANUAL RENEW POLICY 5201070006510 AFTER ENDORSING PRIOR TERM,TronWeb - Issue
MAC is showing wrong extension #,MAC - MAPFRE Admin Center
